Name,Sex,Count,Year
Nicole,F,10743,1997
Stephanie,F,9778,1997
Olivia,F,9477,1997
Jason,M,8745,1997
Emma,F,7749,1997
Melissa,F,6679,1997
Kimberly,F,6182,1997
Michelle,F,5694,1997
Heather,F,3768,1997
Amy,F,3690,1997
Michael,M,36617,1998
Jacob,M,36026,1998
Matthew,M,31144,1998
Joshua,M,28092,1998
Christopher,M,27004,1998
Nicholas,M,26633,1998
Emily,F,26185,1998
Brandon,M,23830,1998
Andrew,M,23662,1998
Joseph,M,23185,1998
Daniel,M,23161,1998
Hannah,F,21375,1998
David,M,20889,1998
William,M,20833,1998
John,M,20631,1998
Ryan,M,20198,1998
Samantha,F,20194,1998
Sarah,F,19894,1998
Ashley,F,19873,1998
James,M,19687,1998
Anthony,M,19634,1998
Jessica,F,18237,1998
Justin,M,17971,1998
Jonathan,M,17648,1998
Robert,M,15525,1998
Elizabeth,F,15193,1998
Lauren,F,12907,1998
Rachel,F,12210,1998
Amanda,F,10923,1998
Jennifer,F,10691,1998
Olivia,F,10610,1998
Emma,F,10448,1998
Nicole,F,9911,1998
Jason,M,9396,1998
Stephanie,F,8491,1998
Kimberly,F,5721,1998
Michelle,F,5561,1998
Melissa,F,5354,1998
Amy,F,3485,1998
Heather,F,3397,1998
Jacob,M,35369,1999
Michael,M,33912,1999
Matthew,M,30417,1999
Joshua,M,27260,1999
Emily,F,26539,1999
Nicholas,M,25639,1999
Christopher,M,25604,1999
Andrew,M,23863,1999
Joseph,M,23216,1999
Daniel,M,22702,1999
Hannah,F,21678,1999
Brandon,M,21602,1999
Ryan,M,21013,1999
William,M,20716,1999
John,M,20365,1999
David,M,20349,1999
Anthony,M,19470,1999
Sarah,F,19115,1999
Samantha,F,19041,1999
James,M,18554,1999
Justin,M,18277,1999
Ashley,F,18136,1999
Jonathan,M,17066,1999
Jessica,F,16349,1999
Elizabeth,F,15348,1999
Robert,M,14539,1999
Lauren,F,13911,1999
Emma,F,11746,1999
Rachel,F,11631,1999
Olivia,F,11256,1999
Jennifer,F,10614,1999
Amanda,F,9748,1999
Nicole,F,9515,1999
Jason,M,9363,1999
Stephanie,F,7692,1999
Kimberly,F,5458,1999
Michelle,F,5303,1999
Melissa,F,4830,1999
Amy,F,3207,1999
Heather,F,2887,1999
Jacob,M,34490,2000
Michael,M,32042,2000
Matthew,M,28576,2000
Joshua,M,27538,2000
Emily,F,25957,2000
Christopher,M,24936,2000
Nicholas,M,24653,2000
Andrew,M,23654,2000
Hannah,F,23085,2000
Joseph,M,22842,2000
Daniel,M,22334,2000
William,M,20667,2000
Brandon,M,20336,2000
Ryan,M,20267,2000
John,M,20109,2000
David,M,19785,2000
Anthony,M,19654,2000
Ashley,F,17998,2000
James,M,17990,2000
Justin,M,17784,2000
Sarah,F,17712,2000
Samantha,F,17265,2000
Jonathan,M,16887,2000
Jessica,F,15711,2000
Elizabeth,F,15113,2000
Lauren,F,14175,2000
Robert,M,13739,2000
Olivia,F,12854,2000
Emma,F,12559,2000
Rachel,F,10685,2000
Jason,M,9777,2000
Jennifer,F,9389,2000
Nicole,F,8562,2000
Amanda,F,8557,2000
Stephanie,F,7028,2000
Michelle,F,5545,2000
Kimberly,F,5243,2000
Melissa,F,4531,2000
Amy,F,3173,2000
Heather,F,2684,2000
Jacob,M,32570,2001
Michael,M,29688,2001
Matthew,M,26813,2001
Joshua,M,26023,2001
Emily,F,25059,2001
Christopher,M,23131,2001
Nicholas,M,22847,2001
Andrew,M,22421,2001
Joseph,M,22025,2001
Daniel,M,21011,2001
Hannah,F,20720,2001
William,M,20109,2001
Anthony,M,19736,2001
David,M,19361,2001
John,M,18900,2001
Ryan,M,18289,2001
Brandon,M,17892,2001
James,M,17073,2001
Ashley,F,16531,2001
Justin,M,16231,2001
Jonathan,M,16144,2001
Sarah,F,15920,2001
Samantha,F,15866,2001
Elizabeth,F,14790,2001
Olivia,F,13977,2001
Jessica,F,13923,2001
Emma,F,13325,2001
Lauren,F,12782,2001
Robert,M,12666,2001
Jason,M,10164,2001
Rachel,F,9554,2001
Jennifer,F,8921,2001
Nicole,F,7820,2001
Amanda,F,6976,2001
Stephanie,F,6612,2001
Michelle,F,5032,2001
Kimberly,F,4880,2001
Melissa,F,4145,2001
Amy,F,2938,2001
Heather,F,2274,2001
Jacob,M,30583,2002
Michael,M,28256,2002
Joshua,M,25997,2002
Matthew,M,25154,2002
Emily,F,24468,2002
Andrew,M,22030,2002
Joseph,M,21913,2002
Christopher,M,21687,2002
Nicholas,M,21390,2002
Daniel,M,21337,2002
William,M,20133,2002
Anthony,M,19590,2002
Hannah,F,18827,2002
David,M,18697,2002
Ryan,M,17659,2002
John,M,17468,2002
James,M,16966,2002
Emma,F,16554,2002
Brandon,M,16281,2002
Jonathan,M,15513,2002
Ashley,F,15344,2002
Justin,M,14905,2002
Sarah,F,14771,2002
Samantha,F,14671,2002
Olivia,F,14630,2002
Elizabeth,F,14615,2002
Lauren,F,12325,2002
Robert,M,12030,2002
Jessica,F,11921,2002
Jason,M,9956,2002
Rachel,F,8942,2002
Jennifer,F,8539,2002
Nicole,F,6973,2002
Stephanie,F,6269,2002
Amanda,F,6143,2002
Michelle,F,4949,2002
Kimberly,F,4790,2002
Melissa,F,3769,2002
Amy,F,3095,2002
Heather,F,2068,2002
Jacob,M,29650,2003
Michael,M,27126,2003
Emily,F,25691,2003
Joshua,M,25103,2003
Matthew,M,24009,2003
Emma,F,22714,2003
Andrew,M,22160,2003
Joseph,M,21382,2003
Daniel,M,21063,2003
Christopher,M,20753,2003
Anthony,M,20149,2003
William,M,19996,2003
Nicholas,M,19696,2003
Ryan,M,19577,2003
David,M,18631,2003
Hannah,F,17638,2003
John,M,17243,2003
James,M,16895,2003
Olivia,F,16152,2003
Brandon,M,15244,2003
Jonathan,M,14992,2003
Ashley,F,14517,2003
Elizabeth,F,14116,2003
Samantha,F,13869,2003
Sarah,F,13779,2003
Justin,M,13653,2003
Robert,M,11397,2003
Lauren,F,11051,2003
Jessica,F,10452,2003
Jason,M,9822,2003
Rachel,F,7990,2003
Jennifer,F,7566,2003
Nicole,F,6235,2003
Stephanie,F,5602,2003
Amanda,F,5347,2003
Michelle,F,4872,2003
Kimberly,F,4825,2003
Melissa,F,3501,2003
Amy,F,2880,2003
Heather,F,1617,2003
Jacob,M,27895,2004
Michael,M,25465,2004
Emily,F,25040,2004
Joshua,M,24210,2004
Matthew,M,22881,2004
Andrew,M,21712,2004
Emma,F,21617,2004
Daniel,M,21000,2004
William,M,20233,2004
Joseph,M,20139,2004
Christopher,M,19637,2004
Anthony,M,19612,2004
Ryan,M,19495,2004
Nicholas,M,18519,2004
David,M,18400,2004
James,M,16468,2004
John,M,16457,2004
Olivia,F,16107,2004
Hannah,F,15610,2004
Ashley,F,14375,2004
Jonathan,M,14372,2004
Brandon,M,14133,2004
Samantha,F,13786,2004
Elizabeth,F,13568,2004
Sarah,F,12751,2004
Justin,M,11879,2004
Robert,M,10679,2004
Lauren,F,9983,2004
Jessica,F,9470,2004
Jason,M,9063,2004
Rachel,F,6918,2004
Jennifer,F,6545,2004
Nicole,F,5741,2004
Stephanie,F,5181,2004
Kimberly,F,4846,2004
Michelle,F,4720,2004
Amanda,F,4685,2004
Melissa,F,3338,2004
Amy,F,3115,2004
Heather,F,1304,2004
Jacob,M,25843,2005
Emily,F,23949,2005
Michael,M,23826,2005
Joshua,M,23259,2005
Matthew,M,21477,2005
Andrew,M,20738,2005
Emma,F,20353,2005
Daniel,M,20227,2005
Anthony,M,19383,2005
Joseph,M,19229,2005
Christopher,M,19173,2005
William,M,19056,2005
David,M,18133,2005
Ryan,M,17987,2005
Nicholas,M,17076,2005
James,M,16140,2005
John,M,15782,2005
Olivia,F,15699,2005
Hannah,F,14851,2005
Jonathan,M,14442,2005
Samantha,F,13640,2005
Ashley,F,13275,2005
Brandon,M,12946,2005
Elizabeth,F,12740,2005
Sarah,F,11547,2005
Justin,M,10516,2005
Robert,M,10166,2005
Lauren,F,9248,2005
Jason,M,8612,2005
Jessica,F,8115,2005
Rachel,F,6218,2005
Jennifer,F,5836,2005
Nicole,F,4990,2005
Kimberly,F,4751,2005
Stephanie,F,4700,2005
Michelle,F,4312,2005
Amanda,F,4096,2005
Melissa,F,3084,2005
Amy,F,2957,2005
Heather,F,1067,2005
Jacob,M,24855,2006
Michael,M,22647,2006
Joshua,M,22332,2006
Emily,F,21410,2006
Matthew,M,20335,2006
Daniel,M,20076,2006
Andrew,M,19730,2006
Christopher,M,19685,2006
Anthony,M,19411,2006
Emma,F,19126,2006
William,M,18961,2006
Joseph,M,18459,2006
David,M,17653,2006
Ryan,M,16431,2006
James,M,16252,2006
Nicholas,M,15674,2006
Olivia,F,15505,2006
John,M,15172,2006
Hannah,F,14550,2006
Jonathan,M,14384,2006
Brandon,M,12684,2006
Samantha,F,12465,2006
Elizabeth,F,12435,2006
Ashley,F,12351,2006
Sarah,F,11157,2006
Justin,M,9971,2006
Robert,M,9907,2006
Lauren,F,8498,2006
Jason,M,8452,2006
Jessica,F,6815,2006
Rachel,F,5538,2006
Jennifer,F,5267,2006
Kimberly,F,5007,2006
Stephanie,F,4508,2006
Nicole,F,4321,2006
Michelle,F,4089,2006
Amanda,F,3360,2006
Melissa,F,2893,2006
Amy,F,2745,2006
Heather,F,974,2006
Jacob,M,24299,2007
Michael,M,22014,2007
Joshua,M,20661,2007
Daniel,M,20258,2007
Christopher,M,20027,2007
Anthony,M,19633,2007
Emily,F,19359,2007
William,M,18890,2007
Matthew,M,18751,2007
Andrew,M,18456,2007
Emma,F,18381,2007
David,M,17556,2007
Joseph,M,17347,2007
Olivia,F,16587,2007
James,M,15968,2007
Ryan,M,15720,2007
John,M,14435,2007
Nicholas,M,14361,2007
Jonathan,M,13802,2007
Hannah,F,13318,2007
Elizabeth,F,13064,2007
Brandon,M,12142,2007
Samantha,F,11882,2007
Ashley,F,11427,2007
Justin,M,10045,2007
Sarah,F,10003,2007
Robert,M,9382,2007
Jason,M,8120,2007
Lauren,F,7435,2007
Jessica,F,5713,2007
Kimberly,F,5101,2007
Rachel,F,4836,2007
Jennifer,F,4652,2007
Nicole,F,3874,2007
Stephanie,F,3810,2007
Michelle,F,3593,2007
Amanda,F,3046,2007
Amy,F,2829,2007
Melissa,F,2504,2007
Heather,F,799,2007
Jacob,M,22611,2008
Michael,M,20642,2008
Joshua,M,19219,2008
Daniel,M,19018,2008
Emma,F,18823,2008
Anthony,M,18409,2008
William,M,18398,2008
Christopher,M,17960,2008
Matthew,M,17596,2008
Emily,F,17441,2008
Olivia,F,17086,2008
Andrew,M,16769,2008
Joseph,M,16590,2008
David,M,16338,2008
James,M,15186,2008
Ryan,M,14684,2008
John,M,13327,2008
Jonathan,M,12896,2008
Nicholas,M,12527,2008
Elizabeth,F,12017,2008
Brandon,M,11478,2008
Samantha,F,11186,2008
Hannah,F,9569,2008
Ashley,F,9405,2008
Justin,M,9363,2008
Sarah,F,9048,2008
Robert,M,8838,2008
Jason,M,7660,2008
Lauren,F,6454,2008
Kimberly,F,4812,2008
Jessica,F,4737,2008
Rachel,F,4083,2008
Jennifer,F,3795,2008
Michelle,F,3339,2008
Stephanie,F,3319,2008
Nicole,F,3289,2008
Amy,F,2541,2008
Melissa,F,2516,2008
Amanda,F,2444,2008
Heather,F,653,2008
Jacob,M,21196,2009
Michael,M,18956,2009
William,M,17925,2009
Emma,F,17908,2009
Joshua,M,17662,2009
Daniel,M,17557,2009
Olivia,F,17441,2009
Christopher,M,16362,2009
Anthony,M,16321,2009
Matthew,M,15999,2009
David,M,15450,2009
Emily,F,15360,2009
Joseph,M,14937,2009
Andrew,M,14871,2009
James,M,14217,2009
Ryan,M,13115,2009
John,M,12130,2009
Jonathan,M,11384,2009
Elizabeth,F,11046,2009
Nicholas,M,10855,2009
Brandon,M,9845,2009
Samantha,F,9664,2009
Justin,M,8628,2009
Robert,M,7839,2009
Ashley,F,7813,2009
Sarah,F,7786,2009
Hannah,F,7578,2009
Jason,M,6921,2009
Lauren,F,5203,2009
Kimberly,F,4227,2009
Jessica,F,3801,2009
Rachel,F,3586,2009
Michelle,F,3078,2009
Jennifer,F,2987,2009
Stephanie,F,2922,2009
Nicole,F,2770,2009
Amy,F,2484,2009
Melissa,F,2337,2009
Amanda,F,1959,2009
Heather,F,554,2009
Jacob,M,22144,2010
Michael,M,17374,2010
Emma,F,17357,2010
William,M,17064,2010
Olivia,F,17033,2010
Daniel,M,15856,2010
Anthony,M,15503,2010
Joshua,M,15458,2010
Christopher,M,14294,2010
Emily,F,14278,2010
Andrew,M,14263,2010
David,M,14215,2010
Matthew,M,14141,2010
James,M,13895,2010
Joseph,M,13848,2010
Ryan,M,11974,2010
John,M,11564,2010
Jonathan,M,11138,2010
Elizabeth,F,10276,2010
Nicholas,M,9650,2010
Brandon,M,8548,2010
Samantha,F,8409,2010
Justin,M,7851,2010
Robert,M,7562,2010
Hannah,F,6997,2010
Sarah,F,6338,2010
Ashley,F,6315,2010
Jason,M,6278,2010
Lauren,F,4466,2010
Kimberly,F,3871,2010
Jessica,F,3199,2010
Rachel,F,3020,2010
Jennifer,F,2621,2010
Nicole,F,2569,2010
Michelle,F,2510,2010
Stephanie,F,2491,2010
Amy,F,2283,2010
Melissa,F,1951,2010
Amanda,F,1661,2010
Heather,F,421,2010
Jacob,M,20389,2011
Emma,F,18814,2011
William,M,17354,2011
Olivia,F,17331,2011
Michael,M,16815,2011
Daniel,M,15296,2011
Anthony,M,14283,2011
Emily,F,14270,2011
Matthew,M,14174,2011
Joshua,M,13792,2011
Andrew,M,13291,2011
James,M,13267,2011
David,M,13244,2011
Christopher,M,13019,2011
Joseph,M,12987,2011
Ryan,M,11502,2011
John,M,11061,2011
Jonathan,M,10246,2011
Elizabeth,F,10101,2011
Nicholas,M,8598,2011
Brandon,M,7819,2011
Samantha,F,7397,2011
Justin,M,7120,2011
Robert,M,6982,2011
Hannah,F,6584,2011
Jason,M,5849,2011
Sarah,F,5565,2011
Ashley,F,5401,2011
Lauren,F,4099,2011
Kimberly,F,3811,2011
Rachel,F,2661,2011
Nicole,F,2655,2011
Jessica,F,2623,2011
Jennifer,F,2279,2011
Amy,F,2190,2011
Michelle,F,2178,2011
Stephanie,F,2151,2011
Melissa,F,1709,2011
Amanda,F,1411,2011
Heather,F,391,2011
Emma,F,20964,2012
Jacob,M,19094,2012
Olivia,F,17328,2012
William,M,16904,2012
Michael,M,16202,2012
Daniel,M,14298,2012
Matthew,M,13985,2012
Emily,F,13660,2012
James,M,13449,2012
Anthony,M,13215,2012
Joshua,M,12671,2012
Andrew,M,12632,2012
Joseph,M,12582,2012
David,M,12553,2012
Christopher,M,11915,2012
Ryan,M,10943,2012
John,M,10630,2012
Elizabeth,F,9722,2012
Jonathan,M,9364,2012
Nicholas,M,7739,2012
Hannah,F,7288,2012
Brandon,M,7036,2012
Robert,M,6961,2012
Samantha,F,6935,2012
Justin,M,5903,2012
Jason,M,5754,2012
Sarah,F,5201,2012
Ashley,F,4700,2012
Lauren,F,3660,2012
Kimberly,F,3315,2012
Nicole,F,2657,2012
Rachel,F,2417,2012
Jessica,F,2334,2012
Amy,F,2236,2012
Michelle,F,1934,2012
Jennifer,F,1925,2012
Stephanie,F,1887,2012
Melissa,F,1771,2012
Amanda,F,1234,2012
Heather,F,328,2012
Emma,F,20958,2013
Olivia,F,18446,2013
Jacob,M,18185,2013
William,M,16654,2013
Michael,M,15530,2013
Daniel,M,14311,2013
James,M,13586,2013
Matthew,M,13355,2013
Emily,F,13137,2013
David,M,12381,2013
Anthony,M,12287,2013
Joseph,M,12268,2013
Joshua,M,11851,2013
Andrew,M,11678,2013
Christopher,M,10872,2013
John,M,10724,2013
Ryan,M,9890,2013
Elizabeth,F,9465,2013
Jonathan,M,8570,2013
Hannah,F,7304,2013
Nicholas,M,7145,2013
Robert,M,6719,2013
Samantha,F,6514,2013
Brandon,M,6231,2013
Jason,M,5510,2013
Justin,M,4872,2013
Sarah,F,4710,2013
Ashley,F,3940,2013
Nicole,F,3350,2013
Lauren,F,3349,2013
Kimberly,F,3103,2013
Rachel,F,2321,2013
Amy,F,2239,2013
Jessica,F,1949,2013
Michelle,F,1892,2013
Jennifer,F,1691,2013
Stephanie,F,1676,2013
Melissa,F,1592,2013
Amanda,F,1073,2013
Heather,F,316,2013
Emma,F,20958,2014
Olivia,F,19829,2014
Jacob,M,16904,2014
William,M,16839,2014
Michael,M,15487,2014
James,M,14456,2014
Daniel,M,13949,2014
Matthew,M,12935,2014
Emily,F,12656,2014
David,M,12243,2014
Joseph,M,12137,2014
Anthony,M,11597,2014
Andrew,M,11180,2014
Joshua,M,10923,2014
John,M,10697,2014
Christopher,M,10375,2014
Elizabeth,F,9581,2014
Ryan,M,9094,2014
Jonathan,M,8116,2014
Nicholas,M,6776,2014
Robert,M,6655,2014
Hannah,F,6592,2014
Brandon,M,5850,2014
Samantha,F,5732,2014
Jason,M,5564,2014
Sarah,F,4710,2014
Justin,M,4029,2014
Ashley,F,3558,2014
Lauren,F,3096,2014
Kimberly,F,2901,2014
Nicole,F,2537,2014
Amy,F,2193,2014
Rachel,F,2088,2014
Jessica,F,1801,2014
Michelle,F,1751,2014
Stephanie,F,1643,2014
Jennifer,F,1521,2014
Melissa,F,1508,2014
Amanda,F,1057,2014
Heather,F,331,2014
Emma,F,20478,2015
Olivia,F,19717,2015
Jacob,M,15979,2015
William,M,15935,2015
James,M,14857,2015
Michael,M,14474,2015
Daniel,M,13532,2015
Matthew,M,12778,2015
David,M,11821,2015
Emily,F,11801,2015
Joseph,M,11521,2015
Anthony,M,10650,2015
John,M,10406,2015
Andrew,M,10135,2015
Christopher,M,9842,2015
Joshua,M,9836,2015
Elizabeth,F,9753,2015
Ryan,M,8540,2015
Jonathan,M,7649,2015
Hannah,F,6430,2015
Nicholas,M,6253,2015
Robert,M,6129,2015
Samantha,F,5347,2015
Brandon,M,5122,2015
Jason,M,5022,2015
Sarah,F,4529,2015
Justin,M,3720,2015
Ashley,F,3425,2015
Kimberly,F,2842,2015
Lauren,F,2695,2015
Nicole,F,2116,2015
Amy,F,2042,2015
Rachel,F,1936,2015
Michelle,F,1704,2015
Jessica,F,1590,2015
Stephanie,F,1558,2015
Jennifer,F,1286,2015
Melissa,F,1283,2015
Amanda,F,1030,2015
Heather,F,281,2015
Emma,F,19536,2016
Olivia,F,19397,2016
William,M,15798,2016
James,M,14905,2016
Jacob,M,14544,2016
Michael,M,14120,2016
Daniel,M,12983,2016
Matthew,M,12655,2016
David,M,11142,2016
Emily,F,10994,2016
Joseph,M,10955,2016
John,M,10045,2016
Anthony,M,9887,2016
Elizabeth,F,9592,2016
Andrew,M,9418,2016
Joshua,M,9241,2016
Christopher,M,9094,2016
Ryan,M,8251,2016
Jonathan,M,6973,2016
Hannah,F,6031,2016
Robert,M,6000,2016
Nicholas,M,5757,2016
Samantha,F,4954,2016
Jason,M,4880,2016
Sarah,F,4423,2016
Brandon,M,4099,2016
Justin,M,3564,2016
Ashley,F,3044,2016
Kimberly,F,2331,2016
Lauren,F,2325,2016
Nicole,F,1954,2016
Rachel,F,1879,2016
Amy,F,1845,2016
Michelle,F,1561,2016
Jessica,F,1391,2016
Stephanie,F,1370,2016
Melissa,F,1236,2016
Jennifer,F,1161,2016
Amanda,F,1005,2016
Heather,F,274,2016
Emma,F,19857,2017
Olivia,F,18763,2017
William,M,15023,2017
James,M,14346,2017
Jacob,M,13245,2017
Michael,M,12700,2017
Daniel,M,11738,2017
Matthew,M,11721,2017
Joseph,M,10467,2017
David,M,10222,2017
Emily,F,9806,2017
John,M,9517,2017
Elizabeth,F,8991,2017
Anthony,M,8861,2017
Joshua,M,8330,2017
Christopher,M,8307,2017
Andrew,M,8277,2017
Ryan,M,7698,2017
Jonathan,M,6520,2017
Hannah,F,5924,2017
Robert,M,5558,2017
Nicholas,M,5361,2017
Samantha,F,4327,2017
Jason,M,4251,2017
Sarah,F,4033,2017
Brandon,M,3493,2017
Justin,M,3149,2017
Ashley,F,2528,2017
Lauren,F,1991,2017
Kimberly,F,1837,2017
Amy,F,1738,2017
Nicole,F,1663,2017
Rachel,F,1619,2017
Michelle,F,1428,2017
Jessica,F,1288,2017
Melissa,F,1169,2017
Stephanie,F,1134,2017
Jennifer,F,1050,2017
Amanda,F,963,2017
Heather,F,223,2017
Emma,F,18801,2018
Olivia,F,18039,2018
William,M,14633,2018
James,M,13629,2018
Jacob,M,11871,2018
Michael,M,11729,2018
Daniel,M,11274,2018
Matthew,M,9995,2018
David,M,9795,2018
Joseph,M,9656,2018
John,M,9188,2018
Emily,F,8706,2018
Elizabeth,F,8588,2018
Anthony,M,8035,2018
Joshua,M,7429,2018
Christopher,M,7323,2018
Andrew,M,7301,2018
Ryan,M,6934,2018
Jonathan,M,5764,2018
Hannah,F,5667,2018
Robert,M,5182,2018
Nicholas,M,4837,2018
Samantha,F,3918,2018
Jason,M,3873,2018
Sarah,F,3774,2018
Brandon,M,3205,2018
Justin,M,2801,2018
Ashley,F,2278,2018
Kimberly,F,1705,2018
Lauren,F,1704,2018
Rachel,F,1557,2018
Amy,F,1510,2018
Nicole,F,1426,2018
Michelle,F,1246,2018
Melissa,F,1117,2018
Jessica,F,1067,2018
Stephanie,F,1029,2018
Jennifer,F,920,2018
Amanda,F,854,2018
Heather,F,210,2018
Olivia,F,18549,2019
Emma,F,17194,2019
William,M,13629,2019
James,M,13174,2019
Jacob,M,10759,2019
Michael,M,10589,2019
Daniel,M,10570,2019
Matthew,M,9254,2019
Joseph,M,9152,2019
David,M,8969,2019
John,M,8845,2019
Emily,F,8248,2019
Elizabeth,F,7912,2019
Anthony,M,7707,2019
Christopher,M,6999,2019
Andrew,M,6797,2019
Joshua,M,6613,2019
Ryan,M,6115,2019
Hannah,F,5633,2019
Jonathan,M,5457,2019
Robert,M,4846,2019
Nicholas,M,4632,2019
Jason,M,3569,2019
Samantha,F,3367,2019
Sarah,F,3316,2019
Brandon,M,2681,2019
Justin,M,2538,2019
Ashley,F,2024,2019
Rachel,F,1547,2019
Kimberly,F,1534,2019
Lauren,F,1512,2019
Amy,F,1479,2019
Nicole,F,1364,2019
Michelle,F,1141,2019
Jessica,F,967,2019
Melissa,F,933,2019
Stephanie,F,896,2019
Jennifer,F,787,2019
Amanda,F,768,2019
Heather,F,162,2019
Olivia,F,17664,2020
Emma,F,15680,2020
William,M,12643,2020
James,M,12368,2020
Michael,M,9805,2020
Daniel,M,9500,2020
Jacob,M,9275,2020
Joseph,M,8458,2020
John,M,8251,2020
David,M,8238,2020
Matthew,M,8120,2020
Elizabeth,F,7278,2020
Anthony,M,7014,2020
Emily,F,6908,2020
Christopher,M,6192,2020
Andrew,M,6049,2020
Joshua,M,5992,2020
Ryan,M,5329,2020
Hannah,F,4956,2020
Jonathan,M,4741,2020
Robert,M,4386,2020
Nicholas,M,4061,2020
Jason,M,3098,2020
Sarah,F,3060,2020
Samantha,F,2952,2020
Justin,M,2307,2020
Brandon,M,2304,2020
Ashley,F,1801,2020
Kimberly,F,1558,2020
Amy,F,1335,2020
Rachel,F,1303,2020
Lauren,F,1274,2020
Nicole,F,1161,2020
Michelle,F,923,2020
Melissa,F,887,2020
Jessica,F,777,2020
Jennifer,F,711,2020
Stephanie,F,698,2020
Amanda,F,693,2020
Heather,F,151,2020
Olivia,F,17798,2021
Emma,F,15510,2021
James,M,12429,2021
William,M,12144,2021
Daniel,M,9119,2021
Michael,M,9103,2021
Jacob,M,8458,2021
John,M,8175,2021
Joseph,M,8129,2021
David,M,7903,2021
Matthew,M,7452,2021
Elizabeth,F,7240,2021
Anthony,M,6775,2021
Emily,F,6577,2021
Christopher,M,5835,2021
Andrew,M,5598,2021
Joshua,M,5500,2021
Ryan,M,4721,2021
Hannah,F,4572,2021
Jonathan,M,4441,2021
Robert,M,4419,2021
Nicholas,M,3847,2021
Sarah,F,2855,2021
Jason,M,2855,2021
Samantha,F,2591,2021
Justin,M,2159,2021
Brandon,M,2130,2021
Ashley,F,1698,2021
Amy,F,1563,2021
Kimberly,F,1347,2021
Rachel,F,1269,2021
Lauren,F,963,2021
Nicole,F,952,2021
Melissa,F,834,2021
Michelle,F,797,2021
Stephanie,F,688,2021
Amanda,F,657,2021
Jessica,F,652,2021
Jennifer,F,634,2021
Heather,F,172,2021
Olivia,F,16573,2022
Emma,F,14435,2022
James,M,12028,2022
William,M,11282,2022
Daniel,M,9047,2022
Michael,M,8829,2022
John,M,7930,2022
Joseph,M,7771,2022
David,M,7741,2022
Jacob,M,7603,2022
Matthew,M,7025,2022
Elizabeth,F,6964,2022
Anthony,M,6554,2022
Emily,F,6461,2022
Christopher,M,5535,2022
Joshua,M,5146,2022
Andrew,M,5124,2022
Hannah,F,4451,2022
Ryan,M,4372,2022
Jonathan,M,4175,2022
Robert,M,4051,2022
Nicholas,M,3623,2022
Sarah,F,2780,2022
Jason,M,2594,2022
Samantha,F,2586,2022
Justin,M,2067,2022
Ashley,F,1851,2022
Brandon,M,1763,2022
Amy,F,1408,2022
Kimberly,F,1384,2022
Rachel,F,1247,2022
Nicole,F,992,2022
Lauren,F,982,2022
Melissa,F,822,2022
Michelle,F,818,2022
Amanda,F,681,2022
Stephanie,F,653,2022
Jennifer,F,624,2022
Jessica,F,617,2022
Heather,F,180,2022